MDCODIGO,MDNOME
90143957,"CARDILOL 12,5MG (CPR)                                                           "
90143973,CARDILOL 25MG (CPR)                                                             
90144015,"CARDILOL 3,125MG (CPR)                                                          "
90144040,"CARDILOL 6,25MG (CPR)                                                           "
90214714,CARDIOXANE 500MG PÓ LIOF. INJ. (UND)                                            
90032837,CARDIZEM 30MG / (CP)                                                            
90032853,CARDIZEM 60MG (CPR)                                                             
90032861,CARDIZEM CD 180MG (CAP)                                                         
90032870,CARDIZEM CD 240MG (CAP)                                                         
90032888,CARDIZEM SR 120MG (CAP)                                                         
90032896,CARDIZEM SR 90MG (CAP)                                                          
90130936,CARDURAN XL 4MG (CPR)                                                           
94819017,CARNABOL SUSP. ORAL FR. 120ML (ML)                                              
90130952,CARTRAX 20MG/G+30MG/G CREME 35G (UND)                                           
90125681,"CARVEDILOL 12,5 MG (CPR)                                                        "
90125711,CARVEDILOL 25 MG  (CPR)                                                         
90125720,"CARVEDILOL 3,125 MG (CPR)                                                       "
90125746,"CARVEDILOL 6,25 MG (CPR)                                                        "
90015630,CASODEX 50MG / (CP)                                                             
90169522,"CATAFLAM 1,8MG/ML SUSP. ORAL FR. 120 ML (ML)                                    "
90169557,"CATAFLAM 44,94MG/ML SUSP. ORAL 20ML (GTS)                                       "
90169565,CATAFLAM 50MG (DRG)                                                             
90169549,CATAFLAM 75MG (25MG/ML) SOL. INJ. 3ML (AMP)                                     
90169581,CATAFLAM 75MG SUPOSITORIO (SUP)                                                 
90169638,"CATAFLAM EMULGEL 11,6MG/G BISN. 100G (GRA)                                      "
90144066,CEBRALAT 100MG (CPR)                                                            
90144082,CEBRALAT 50MG (CPR)                                                             
90144104,CEBRILIN 10MG (CPR)                                                             
90144139,CEBRILIN 20MG (CPR)                                                             
90144155,CEBRILIN 30MG (CPR)                                                             
90061217,CECLOR 250MG/5ML SUSP. ORAL FR. 100 ML (ML)                                     
90061241,CECLOR 375MG/5ML SUSP. ORAL FR. 100 ML (ML)                                     
94214417,CECLOR AF 500MG (CPR)                                                           
95394427,CECLOR AF 750MG (DRG)                                                           
90061284,CECLOR BD 750MG (CPR)                                                           
90184220,CEDUR 200MG (DRG)                                                               
90184246,CEDUR 400MG (CPR)                                                               
90082303,CEFACLOR 250MG (CAP)                                                            
90082338,CEFACLOR 375MG/5ML SUSP. ORAL FR. 100ML (ML)                                    
90152379,CEFACLOR 500MG (CAP)                                                            
90053435,CEFADROXIL 250MG/5ML PO SUSP. 100ML (UND)                                       
90053427,CEFADROXIL 500MG (CAP)                                                          
90053443,CEFADROXIL 500MG/5ML PO SUSP. 100ML (UND)                                       
90061349,CEFALEXINA 1G (CPR)                                                             
90152441,CEFALEXINA 250MG/5ML SUSP. ORAL FR. 100 ML (ML)                                 
90066936,CEFALEXINA 500MG (CPR)                                                          
90152417,CEFALEXINA 500MG/5ML SUSP. ORAL FR. 100 ML (ML)                                 
90003322,CEFALIUM (CPR)                                                                  
90003330,CEFALIV (CPR)                                                                   
90018320,CEFALOTINA SÓDICA 1G PÓ SOL. INJ.+DIL 5ML (UND)                                 
90035097,CEFAMOX 250MG/5ML PO SUSP. ORAL FR. 100 ML                                      
90035100,CEFAMOX 500MG / (CAP)                                                           
90035089,CEFAMOX 500MG/5ML PO SUSP. ORAL FR. 100ML (UND)                                 
90207254,CEFAZOLINA SÓDICA 1G PÓ SOL. INJ. 13ML (UND)                                    
90018419,CEFOTAXIMA SÓDICA 1G PÓ SOL. INJ. (UND)                                         
90018451,CEFOTAXIMA SÓDICA 500MG PÓ SOL. INJ. (UND)                                      
90018478,CEFTAZIDIMA 1G PÓ SOL. INJ. (UND)                                               
90067010,"CEFTRIAXONA 1G IM PÓ SOL. INJ.+DIL. 3,5ML (UND)                                 "
90067037,CEFTRIAXONA 500MG IM PÓ SOL. INJ.+DIL. 2ML (UND)                                
90018516,CEFTRIAXONA SÓDICA 1G PÓ SOL. INJ. (UND)                                        
90018559,CEFTRIAXONA SÓDICA 500MG IV PÓ SOL. INJ.+DIL. 5ML (UND)                         
90018583,CEFUROXIMA 750MG PÓ SOL. INJ. + DIL. 6ML (UND)                                  
95352015,CEFZIL 250MG/5ML PÓ SUSP. ORAL 100ML (UND)                                      
90035135,CEFZIL 500MG (CPR)                                                              
90130987,CELEBRA 100MG (CAP)                                                             
90131010,CELEBRA 200MG (CAP)                                                             
90053613,"CELERGIN 2MG/5ML+0,25MG/5ML XPE. 120ML (ML)                                     "
90147677,"CELESTAMINE 2MG+0,25MG (CPR)                                                    "
90147642,CELESTAMINE XPE. FR. 120ML (ML)                                                 
90147685,"CELESTONE 0,1MG/ML ELIXIR FR. 120ML (ML)                                        "
90147715,"CELESTONE 0,5MG (CPR)                                                           "
90147758,"CELESTONE 0,5MG/ML SOL. ORAL 15ML / (GTS)                                       "
90147723,CELESTONE 2MG (CPR)                                                             
90147740,CELESTONE 4MG/ML SOL. INJ. 1ML (AMP)                                            
90147731,"CELESTONE SOLUSPAN 3MG/ML+3,945MG/ML SUSP. INJ. 1ML (AMP)                       "
90184254,CELLCEPT 500MG (CPR)                                                            
90194284,CEPACAÍNA SOL. ORAL FR. 100ML (ML)                                              
90194292,CEPACAÍNA SOL. ORAL SPRAY FR. 50ML (ML)                                         
90169689,"CERTICAN 0,5MG (CPR)                                                            "
90169697,"CERTICAN 0,75MG (CPR)                                                           "
90169700,CERTICAN 1MG (CPR)                                                              
90169662,"CERTICAN D 0,1MG (CPR)                                                          "
90169670,"CERTICAN D 0,25MG (CPR)                                                         "
90159683,CESTOX 150MG (CPR)                                                              
90053745,CETOCONAZOL 200MG (CPR)                                                         
90152530,CETOCONAZOL 20MG/G CREME DERM. 30G (GRA)                                        
90136233,CETOCONAZOL+BETAMET.+SULF. NEOMICINA CREME DERM. BISN. 30G (GRA)                
90136241,CETOCONAZOL+BETAMET.+SULF. NEOMICINA POM. DERM. 30G (GRA)                       
90061381,"CETOCONAZOL+DIP. BETAMET. 20MG/G+0,5MG/G CREME DERM. 30G (GRA)                  "
94244430,"CETOCONAZOL+DIP. BETAMET. 20MG/G+0,5MG/G POM. DERM. 30G (GRA)                   "
90045378,CETOPROFENO 100MG (50MG/ML) SOL. INJ. IM 2ML (AMP)                              
90152557,CETOPROFENO 100MG (CPR)                                                         
90045360,CETOPROFENO 100MG PÓ LIOF. SOL. INJ. (UND)                                      
90152573,CETOPROFENO 25MG/G GEL DERM. 30G (GRA)                                          
90152565,CETOPROFENO 400MG (20MG/ML) SOL. ORAL 20ML (GTS)                                
90152581,CETOPROFENO 50MG (CPR)                                                          
90128311,CETOROLACO DE TROMETAMOL 5MG/ML SOL. OFT. FR. 5ML (GTS)                         
90136365,CEVITA 500MG (100MG/ML) SOL. INJ. 5ML (AMP)                                     
90131215,"CHAMPIX KIT INICIO 0,5MG+1MG (CPR)                                              "
90051149,CIALIS 20MG (CPR)                                                               
90252780,CIBALENA A (CPR)                                                                
90039610,CICLADOL 20MG (CPR)                                                             
90141377,CICLOLATO 10MG/ML SOL. OFT. FR. 5ML (GTS)                                       
90141385,CICLOMIDRIN 10MG/ML SOL. OFT. FR. 5ML (GTS)                                     
90152590,CICLOPIROX OLAMINA 10MG/G CREME DERM. 20G (GRA)                                 
90152603,CICLOPIROX OLAMINA 10MG/ML SOL. TÓP. FR. 15ML (GTS)                             
90006445,CICLOPLÉGICO 1% SOL. OFT. FR. 5ML (GTS)                                         
94249342,CIMETIDINA 200MG (CPR)                                                          
90136675,CIMETIDINA 300MG (150MG/ML) SOL. INJ. 2ML (AMP)                                 
90116585,CIMETIDINA 400MG (CPR)                                                          
90158202,CINALEO 15UI PÓ LIOF. INJ. (UND)                                                
90168178,CINARIZINA 25 MG (CAP)                                                          
90186524,CINARIZINA 75 MG (CPR)                                                          
94939004,CINT. DE CORPO INTEIRO PARA PESQ. DE METASTASE (PCI) - IODO 123 (UND)           
94938997,CINT. DE CORPO INTEIRO PARA PESQ. DE METASTASE (PCI) - IODO 131 (UND)           
94939225,CINTILOGRAFIA CEREBRAL (UND)                                                    
94939314,CINTILOGRAFIA COM ANÁLOGO DE SOMATOSTATINA (UND)                                
94939322,CINTILOGRAFIA COM GALIO 67 (UND)                                                
94939330,CINTILOGRAFIA COM LEUCOCITOS MARCADOS (UND)                                     
94939357,CINTILOGRAFIA COM MIBG E IODO 123 (UND)                                         
94939349,CINTILOGRAFIA COM MIBG E IODO 131 (UND)                                         
94938954,CINTILOGRAFIA DA TIREOIDE E/OU CAPTACAO C/IODO 123 (UND)                        
94938962,CINTILOGRAFIA DA TIREOIDE E/OU CAPTACAO COM IODO 131 (UND)                      
94938970,CINTILOGRAFIA DA TIREOIDE E/OU CAPTACAO COM TECNECIO 99M TC (UND)               
94938822,CINTILOGRAFIA DAS GLANDULAS SALIVARES COM OU SEM ESTIMULO (UND)                 
94938989,CINTILOGRAFIA DAS PARATIREOIDES (UND)                                           
94939373,CINTILOGRAFIA DE MAMA (BILATERAL) (UND)                                         
94939250,CINTILOGRAFIA DE PERFUSAO CEREBRAL (UND)                                        
94938830,CINTILOGRAFIA DO FIGADO E BACO (UND)                                            
94938849,CINTILOGRAFIA DO FIGADO E VIAS BILIARES (UND)                                   
94938709,CINTILOGRAFIA DO MIOCARDIO - NECROSE (INFARTO AGUDO) (UND)                      
94938695,CINTILOGRAFIA DO MIOCARDIO COM FDG FLUOR 18 (UND)                               
94938725,CINTILOGRAFIA DO MIOCARDIO PERFUSAO - ESTRESSE FISICO (UND)                     
94938717,CINTILOGRAFIA DO MIOCARDIO PERFUSAO - REPOUSO (UND)                             
94939136,CINTILOGRAFIA DO S.R.E. (MEDULA OSSEA) (UND)                                    
94939209,CINTILOGRAFIA OSSEA (CORPO TOTAL) (UND)                                         
94939420,CINTILOGRAFIA PARA DETECCAO DE ASPIRACAO PULMONAR (UND)                         
94938857,CINTILOGRAFIA PARA DETECCAO DE HEMORRAGIA DIGESTIVA ATIVA (UND)                 
94938865,CINTILOGRAFIA PARA DETECCAO DE HEMORRAGIA DIGESTIVA NAO ATIVA (UND)             
94938873,CINTILOGRAFIA PARA DETERM. DO TEMPO DE ESVAZIAMENTO GASTRICO (UND)              
94938881,CINTILOGRAFIA PARA ESTUDO DE TRASITO ESOFAGICO (LIQUIDOS) (UND)                 
94938890,CINTILOGRAFIA PARA ESTUDO DE TRASITO ESOFAGICO (SEMI-SOLIDOS) (UND)             
94938903,CINTILOGRAFIA PARA PESQUISA DE DIVERTICULO DE MECKEL (UND)                      
94938911,CINTILOGRAFIA PARA PESQUISA DE REFLUXO GASTROESOFAGICO (UND)                    
94939438,CINTILOGRAFIA PULMONAR - INALACAO (UND)                                         
94939446,CINTILOGRAFIA PULMONAR - PERFUSAO (UND)                                         
94939047,CINTILOGRAFIA RENAL DINAMICA (UND)                                              
94255717,CINTILOGRAFIA RENAL DINAMICA COM DIURETICO (UND)                                
94939063,CINTILOGRAFIA RENAL ESTATICA (QUANLITATIVA OU QUANTITATIVA) (UND)               
94938741,CINTILOGRAFIA SINC. DAS CAMARAS CARDIACAS - ESFORCO (UND)                       
94938750,CINTILOGRAFIA SINC. DAS CAMARAS CARDIACAS - REPOUSO (UND)                       
94939071,CINTILOGRAFIA TESTICULAR ESCROTAL (UND)                                         
90145763,CIPRAMIL 20 MG (CP)                                                             
90021584,"CIPRO 200MG (0,2%) SOL. INJ. 100ML (UND)                                        "
90021622,CIPRO 250MG (CPR)                                                               
90021592,"CIPRO 400MG (0,2%) SOL. INJ. 200ML (UND)                                        "
90021649,CIPRO 500MG (CPR)                                                               
90005872,CIPRO HC 2MG/ML+10MG/ML SUSP. OTOL. FR. 10ML (GTS)                              
90021673,CIPRO XR 1000MG (CPR)                                                           
90021703,CIPRO XR 500MG (CPR)                                                            
90067215,CIPROFLOXACINO 200MG (2MG/ML) SOL. INJ. BOLSA 100ML (UND)                       
90067223,CIPROFLOXACINO 400MG (2MG/ML) SOL. INJ. BOLSA 200ML (UND)                       
90002075,CISPLATINA 25MG (1MG/ML) SOL. INJ. IV 25ML (UND)                                
90002083,CISPLATINA 50MG (1MG/ML) SOL. INJ. IV 50ML (UND)                                
94939268,CISTERNOCISTILOGRAFIA (31.07.002-7) (UND)                                       
94939080,CISTOCINTILOGRAFIA DIRETA (UND)                                                 
94939098,CISTOCINTILOGRAFIA INDIRETA (UND)                                               
90125827,CITALOPRAM 20MG (CPR)                                                           
90131274,CITALOR 10MG (CPR)                                                              
90131282,CITALOR 20MG (CPR)                                                              
90131304,CITALOR 40MG (CPR)                                                              
90131312,CITALOR 80MG (CPR)                                                              
90002105,CITARABINA 100MG/ML SOL. INJ. IV 1ML (UND)                                      
90002113,CITARABINA 500MG (100MG/ML) SOL. INJ. IV 5ML (UND)                              
90030664,CITARAX 100MG (20MG/ML) SOL. INJ. 5ML (UND)                                     
90159713,CITONEURIN 1000MCG/ML+(100+100)MG/ML 1ML (AMP)                                  
90159756,CITONEURIN 5000MCG+100MG+100MG (DRG)                                            
90035151,CITOSTAL 10MG / (CAP)                                                           
90035160,CITOSTAL 40MG / (CAP)                                                           
90067290,CITRATO DE FENTANILA 100MCG (50MCG/ML) SOL. INJ. 2ML (AMP)                      
90067304,CITRATO DE FENTANILA 250MCG (50MCG/ML) SOL. INJ. 5ML (AMP)                      
90067282,CITRATO DE FENTANILA 500MCG (50MCG/ML) SOL. INJ. 10ML (AMP)                     
90190785,CITRATO DE TAMOXIFENO 10MG / (CP)                                               
90190793,CITRATO DE TAMOXIFENO 20MG (CPR)                                                
90082540,CITRATO ORFENADRINA+DIPIRONA+CAFEÍNA SOL. ORAL 20ML (GTS)                       
90194411,CLAFORAN 250MG/ML PÓ SOL. INJ.+DIL. 4ML (UND)                                   
90005880,"CLARIL 0,25MG/ML+3MG/ML SOL. OFT. FR. 15ML (GTS)                                "
90134508,CLARIPEL 4% ACQUAGEL GEL 30G (GRA)                                              
90147863,CLARITIN 100MG (1MG/ML) XPE. 100ML (ML)                                         
90147847,CLARITIN 10MG (CPR)                                                             
90147898,CLARITIN D 10MG+240MG (CPR)                                                     
90147880,CLARITIN D 1MG/ML+12MG/ML XPE. FR. 60ML (ML)                                    
90147901,CLARITIN D 5MG+120MG (DRG)                                                      
90054024,CLARITROMICINA 125MG/5ML SUSP. ORAL 60ML (UND)                                  
90152646,CLARITROMICINA 250MG (CPR)                                                      
90054040,CLARITROMICINA 500MG (CPR)                                                      
90067410,CLARITROMICINA 500MG PÓ SOL. INJ.+DIL (UND)                                     
90006453,"CLARVISOL 0,85MG/CP PREP. EXT. SOL. OFT. FR. 15ML (GTS)                         "
90088662,"CLAVULIN 125MG/5ML+31,25MG/5ML PÓ SUSP. ORAL FR. 75ML (UND)                     "
90088794,CLAVULIN 1G+200MG IV PÓ SOL. INJ. (UND)                                         
90088786,CLAVULIN 500MG+100MG IV PÓ SOL. INJ. (UND)                                      
90088727,"CLAVULIN BD 200MG/5ML+28,5MG/5ML PÓ SUSP. ORAL FR. 70ML (UND)                   "
90088735,CLAVULIN BD 400MG/5ML+57MG/5ML PÓ SUSP. ORAL FR. 70ML (UND)                     
94229902,CLAVULIN BD 875MG+125MG (CPR)                                                   
90088760,"CLAVULIN ES 600MG/5ML+42,9MG/5ML PÓ SUSP. ORAL FR. 100ML (UND)                  "
94939055,"CLENIL A 0,4MG/ML SUSP. NASAL FLAC. 2ML (UND)                                   "
90039718,CLENIL COMPOSITUM 400MCG/ML+800MCG/ML SUSP. NEB. FLAC. 2ML (UND)                
90039645,"CLENIL NASAL 0,4MG/ML SUSP. NASAL AQ. FR. 20 ML+VÁLV. DOS. (ML)                 "
90039670,CLENIL PULVINAL 200MCG/DOSE PO INALANTE (DOSE)                                  
90039700,CLENIL PULVINAL 400MCG/DOSE PO INALANTE (DOSE)                                  
90204980,CLEVERON 10 MG / TRB PHARMA (CP)                                                
90194438,CLEXANE 100MG SOL. INJ. SER. PREENCH. 1ML (UND)                                 
90194462,"CLEXANE 20MG SOL. INJ. SER. PREENCH. 0,2ML (UND)                                "
90194500,"CLEXANE 40MG SOL. INJ. SER. PREENCH. 0,4ML (UND)                                "
90194535,"CLEXANE 60MG SOL. INJ. SER. PREENCH. 0,6ML (UND)                                "
90194551,"CLEXANE 80MG SOL. INJ. SER. PREENCH. 0,8ML (UND)                                "
90134524,"CLINAGEL 10,3MG/G GEL 45G (GRA)                                                 "
90152697,"CLONAZEPAM 0,5MG (CPR)                                                          "
90152719,"CLONAZEPAM 2,5MG/ML SOL. ORAL FR. 20ML (GTS)                                    "
90152743,CLONAZEPAM 2MG (CPR)                                                            
90045440,CLONIDIN  150MCG/ML SOL. INJ. 1ML (AMP)                                         
90151925,CLOPIDOGREL 75MG (CPR)                                                          
90145780,CLOPIXOL 10MG (CPR)                                                             
90145798,CLOPIXOL 25MG (CPR)                                                             
90145801,CLOPIXOL ACUPHASE 50MG/ML SOL. INJ. 1ML (AMP)                                   
90145810,CLOPIXOL DEPOT. 200MG/ML. SOL. INJ. 1ML (AMP)                                   
90054580,"CLOR. DE CIPROF.+DEXAMETASONA 3,5MG/ML+1MG/ML FR. 5ML (GTS)                     "
90207491,CLOR. DE CLOBUTINOL+SUC. DE DOXILAMINA 48MG/ML+9MG/ML FR. 20ML (GTS)            
90152832,"CLOR. DE CLOBUTINOL+SUC. DE DOXILAMINA 4MG/ML+0,75MG/ML FR. 120ML (ML)          "
90083423,"CLOR. DE TETRAC.+ANFOTERICINA B 25MG/G+12,5MG/G CREME VAG. 45G (UND)            "
90198050,CLORANA 25MG (CPR)                                                              
90198069,CLORANA 50MG (CPR)                                                              
90006461,CLORANFENICOL 4MG/ML SOL. OFT. FR. 10ML (GTS)                                   
90094573,CLORETO DE POTÁSSIO 10% SOL. INJ. 10ML (AMP)                                    
95447342,CLORETO DE POTÁSSIO 15% SOL. INJ. 10ML (AMP)                                    
95447350,"CLORETO DE POTÁSSIO 19,1% SOL. INJ. 10ML (AMP)                                  "
90094700,"CLORETO DE SÓDIO 0,9% BOLSA SIST. FECH 1000ML (UND)                             "
90094735,"CLORETO DE SÓDIO 0,9% BOLSA SIST. FECH. 100ML (UND)                             "
90094727,"CLORETO DE SÓDIO 0,9% BOLSA SIST. FECH. 250ML (UND)                             "
90094719,"CLORETO DE SÓDIO 0,9% BOLSA SIST. FECH. 500ML (UND)                             "
90094743,"CLORETO DE SÓDIO 0,9% BOLSA SIST. FECH. 50ML (UND)                              "
90065522,"CLORETO DE SODIO 0,9% FRASCO SIST. FECH. 1000ML (UND)                           "
90100042,"CLORETO DE SODIO 0,9% FRASCO SIST. FECH. 125ML (UND)                            "
90094590,"CLORETO DE SODIO 0,9% FRASCO SIST. FECH. 2000ML (UND)                           "
90065557,"CLORETO DE SODIO 0,9% FRASCO SIST. FECH. 250ML (UND)                            "
90065549,"CLORETO DE SODIO 0,9% FRASCO SIST. FECH. 500ML (UND)                            "
90123123,"CLORETO DE SÓDIO 0,9% FRASCO SIST. FECH. 50ML (UND)                             "
90094654,"CLORETO DE SÓDIO 0,9% SOL. INJ. 10ML (AMP)                                      "
90094689,"CLORETO DE SÓDIO 0,9% SOL. INJ. 20ML (AMP)                                      "
90099273,"CLORETO DE SÓDIO 0,9% SOL. INJ. 5ML (AMP)                                       "
90257910,CLORETO DE SÓDIO 10% SOL. INJ. 10ML (AMP)                                       
95447318,"CLORETO DE SÓDIO 17,55% SOL. INJ. 10ML (AMP)                                    "
95250131,CLORETO DE SÓDIO 20% SOL. INJ. 10ML (AMP)                                       
90094697,CLORETO DE SÓDIO 20% SOL. INJ. 20ML (AMP)                                       
90273923,CLORIDRATO DE AMBROXOL 3MG/ML XPE. FR. 120ML (ML)                               
90268326,CLORIDRATO DE AMBROXOL 6 MG/ML FR. XPE 120ML/ BIOSINTETICA (ML)                 
90082745,"CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA 2,5MG+25MG (CPR)                      "
90082753,CLORIDRATO DE AMILORIDA+HIDROCLOROTIAZIDA 5MG+50MG (CPR)                        
90238761,CLORIDRATO DE AMIODARONA 100MG (CPR)                                            
90238770,CLORIDRATO DE AMIODARONA 200MG (CPR)                                            
90152778,CLORIDRATO DE AMITRIPTILINA 25MG (CPR)                                          
90152786,CLORIDRATO DE AMITRIPTILINA 75MG (CPR)                                          
90082800,CLORIDRATO DE AZELASTINA 1MG/ML SOL. NASAL FR. 10ML (ML)                        
90054520,"CLORIDRATO DE BETAXOLOL 0,5% (5MG/ML) SOL. OFT.FR 5ML / (GTS)                   "
90255429,CLORIDRATO DE BROMEXINA 4MG/5ML XPE FR. 120ML (ML)                              
90255437,CLORIDRATO DE BROMEXINA 8MG/5ML XPE FR. 120ML (ML)                              
90099320,"CLORIDRATO DE BUPIVACAÍNA 0,5% (5MG/ML) S/V SOL. INJ. 20ML (ML)                 "
90099311,CLORIDRATO DE BUPIVACAÍNA HIPERBÁRICA 5MG/ML+80MG/ML SOL. INJ. 4ML (AMP)        
90067479,CLORIDRATO DE BUPROPIONA 150MG (CPR)                                            
90067487,CLORIDRATO DE CEFEPIMA 1G PÓ SOL. INJ. + DIL. 3M (UND)                          
90067495,CLORIDRATO DE CEFEPIMA 2G PÓ SOL. INJ. (UND)                                    
90067525,CLORIDRATO DE CICLOBENZAPRINA 10MG (CPR)                                        
90067533,CLORIDRATO DE CICLOBENZAPRINA 5MG (CPR)                                         
90012003,CLORIDRATO DE CIPROFLOXACINO 250MG (CPR)                                        
90082923,"CLORIDRATO DE CIPROFLOXACINO 3,5MG/G POM. OFT. 3,5G (GRA)                       "
90082931,"CLORIDRATO DE CIPROFLOXACINO 3,5MG/ML SOL. OFT. 5ML (GTS)                       "
90152816,CLORIDRATO DE CIPROFLOXACINO 500MG (CPR)                                        
90054598,CLORIDRATO DE CLINDAMICINA 300MG (CAP)                                          
90152751,CLORIDRATO DE CLOBUTINOL 4MG/ML XPE FR. 120ML (ML)                              
90082974,CLORIDRATO DE CLOMIPRAMINA 10MG (CPR)                                           
90082982,CLORIDRATO DE CLOMIPRAMINA 25MG (CPR)                                           
90054237,CLORIDRATO DE DILTIAZEM 60MG (CPR)                                              
90082990,"CLORIDRATO DE DOBUTAMINA 250MG (12,5MG/ML) SOL. INJ. IV 20ML (AMP)              "
90261461,CLORIDRATO DE DOPAMINA 5MG/ML SOL. INJ. 10ML (AMP)                              
90125932,CLORIDRATO DE DORZOLAMIDA 2% (20MG/ML) SOL. OFT. 5ML (GTS)                      
90186699,CLORIDRATO DE DOXICICLINA 100MG (CPR)                                           
90091230,CLORIDRATO DE DOXORRUBICINA PÓ LIOF. SOL. INJ. (MG)                             
90054687,"CLORIDRATO DE FENOXAZOLINA 0,5MG/ML SOL. NASAL 10ML (GTS)                       "
90054695,CLORIDRATO DE FENOXAZOLINA 1MG/ML SOL. NASAL 10ML (GTS)                         
90186702,CLORIDRATO DE FEXOFENADINA 120MG (CPR)                                          
90186710,CLORIDRATO DE FEXOFENADINA 180MG (CPR)                                          
90083067,CLORIDRATO DE FLUOXETINA 10MG (CAP)                                             
90152980,CLORIDRATO DE FLUOXETINA 20MG (CAP)                                             
90152964,CLORIDRATO DE FLUOXETINA 20MG/ML SOL. ORAL FR. 20ML (GTS)                       
90091256,CLORIDRATO DE IRINOTECANO SOL. INJ. (MG)                                        
90045505,CLORIDRATO DE LIDOCAÍNA 2% (20MG/G) GEL TÓP. 30G (GRA)                          
90096487,CLORIDRATO DE LIDOCAÍNA 2% SOL. INJ. X 5 ML (UND)
90116747,CLORIDRATO DE LINCOMICINA  600MG SOL. INJ. 2ML (AMP)                            
90116739,CLORIDRATO DE LINCOMICINA 300MG SOL. INJ. 1 ML (AMP)                            
90190920,CLORIDRATO DE METFORMINA 1G / SANDOZ (CP)                                       
90194608,CLORIDRATO DE METOCLOPRAMIDA 10MG (CPR)                                         
90082699,CLORIDRATO DE METOCLOPRAMIDA 4MG/ML SOL. ORAL FR. 10ML (GTS)                    
90186818,CLORIDRATO DE MINOCICLINA 100MG (CPR)                                           
90054300,"CLORIDRATO DE NAFAZOLINA 0,5MG/ML SOL. NASAL FR. 30ML (CPR)                     "
90067703,CLORIDRATO DE NORTRIPTILINA 10MG (CPR)                                          
90186826,CLORIDRATO DE NORTRIPTILINA 25MG (CAP)                                          
90186842,CLORIDRATO DE NORTRIPTILINA 50MG (CAP)                                          
90153090,CLORIDRATO DE NORTRIPTILINA 75MG (CAP)                                          
90099370,CLORIDRATO DE ONDANSETRONA 4MG (2MG/ML) SOL. INJ. 2ML (AMP)                     
90099389,CLORIDRATO DE ONDANSETRONA 8MG (2MG/ML) SOL. INJ. 4ML (AMP)                     
90061896,CLORIDRATO DE ONDANSETRONA 8MG (CPR)                                            
90083202,CLORIDRATO DE OXIBUTININA 1MG/ML XPE  FR. 120ML (ML)                            
90136845,"CLORIDRATO DE OXIMETAZOLINA  0,25MG/ML SOL. NASAL FR. 20ML (GTS)                "
90136861,"CLORIDRATO DE OXIMETAZOLINA  0,5MG/ML SOL. NASAL FR. 30ML (GTS)                 "
90153111,CLORIDRATO DE PAROXETINA 20MG (CPR)                                             
90207513,CLORIDRATO DE PETIDINA 100MG (50MG/ML) SOL. INJ. 2ML (AMP)                      
90179374,CLORIDRATO DE PROPRANOLOL 10MG (CPR)                                            
90179390,CLORIDRATO DE PROPRANOLOL 40MG (CPR)                                            
90179412,CLORIDRATO DE PROPRANOLOL 80MG (CPR)                                            
90083270,CLORIDRATO DE PROPRANOLOL+HIDROCLOROTIAZIDA 40MG+25MG (CPR)                     
90083288,CLORIDRATO DE PROPRANOLOL+HIDROCLOROTIAZIDA 80MG+25MG (CPR)                     
95268286,CLORIDRATO DE RANITIDINA 150MG (CPR)                                            
90083300,CLORIDRATO DE RANITIDINA 15MG/ML XPE  FR. 120ML (ML)                            
90153189,CLORIDRATO DE RANITIDINA 300MG (CPR)                                            
90207548,CLORIDRATO DE RANITIDINA 50MG (25MG/ML) SOL. INJ. 2ML (AMP)                     
90067819,CLORIDRATO DE ROPIVACAÍNA 10MG/ML SOL. INJ. 20ML (AMP)                          
90067843,"CLORIDRATO DE ROPIVACAÍNA 7,5MG/ML SOL. INJ. 20ML (AMP)                         "
90126033,CLORIDRATO DE SELEGILINA 5MG (CPR)                                              
90083326,CLORIDRATO DE SERTRALINA 100MG (CPR)                                            
90083350,CLORIDRATO DE SERTRALINA 50MG (CPR)                                             
90126106,CLORIDRATO DE SOTALOL 120MG (CPR)                                               
90054318,CLORIDRATO DE TERBINAFINA 10MG/G CREME 20G (GRA)                                
90153251,CLORIDRATO DE TERBINAFINA 125MG (CPR)                                           
90179480,CLORIDRATO DE TERBINAFINA 250MG (CPR)                                           
90179536,CLORIDRATO DE TETRACICLINA 500MG (CPR)                                          
90083440,CLORIDRATO DE TICLOPIDINA 250MG (CPR)                                           
90186974,CLORIDRATO DE TIZANIDINA 2MG (CPR)                                              
90137027,CLORIDRATO DE TRAMADOL 100MG (50MG/ML) SOL. INJ. 2ML (AMP)                      
90137019,CLORIDRATO DE TRAMADOL 50MG (50MG/ML) SOL. INJ. 1ML (AMP)                       
90137035,CLORIDRATO DE TRAMADOL 50MG (CPR)                                               
90067959,CLORIDRATO DE VANCOMICINA 500MG PÓ LIOF. INJ. (UND)                             
90153332,CLORIDRATO DE VENLAFAXINA 150MG (CAP)                                           
90126130,"CLORIDRATO DE VENLAFAXINA 37,5MG (CPR)                                          "
90126149,CLORIDRATO DE VENLAFAXINA 50MG (CPR)                                            
90126157,CLORIDRATO DE VENLAFAXINA 75MG (CPR)                                            
90083490,CLORIDRATO DE VERAPAMIL 80MG (CPR)                                              
90191056,CLORIDRATO DE VERAPAMIL RETARD 240 MG / SANDOZ (CP)                             
90055101,"CLORTALIDONA 12,5MG (CPR)                                                       "
90055128,CLORTALIDONA 25MG (CPR)                                                         
